


Network Metrics for year 2010

Film                   Btwns Cntr    Degree    Clstr Coef.
international circuit               0         0             56
distribs                            0         0             57
china lions                         0         0             58
submarine                           0         0             59
cinedigm                            0         0             60
thelaborative                       0         0             61
shout factory                       0         0             62
rialtos                             0         0             63
dadas                               0         0             64
picturehouses                       0         0             65
directv                             0         1             19
gravitas                            0         0             66
hbos                                0         0             67
idyllic                             0         0             68
babas                               0         0             69
momentum                            0         0             70
baseball dreams                     0         0             71
purdie                              0         0             72
vladarpany                          0         0             73
e one                               0         0             74
mtuckman tuggs                      0         0             75
quadratic                           0         0             76
pbss                                0         1             77
orchard                             0         0             78
long shot factory                   0         0             79
phase 4s                            0         0             80
participant                         0         1             81
giant flick                         0         0             82
ocean avenue                        0         0             83
screenvision                        0         0             84
oscilloscope pitures                0         0             85
ten furlongs                        0         0             86
moving                              0         0             87
american experience                 0         1             77
sundance selects                    0         0             88
apo                                 0         0             89
roadside atrractions                0         0             90
anchor bays                         0         0             91
outsider                            0         0             92
goodfaces                           0         0             93
brothers ink                        0         0             94
eone                                0         0             95
revolver                            0         0             96
vivendi                             0         0             97
gone                                0         1             98
richmond                            0         0             99
american express                    0         0            100
rlj                                 0         0            101
shoot first inc                     0         0            102
tristar                             0         0            103
little scraps of papers             0         0            104
filmrise                            0         0            105
liberty                             0         0            106
kartemquins                         0         0            107
samuel goldwyn                      0         0            108
baxter                              0         0            109
trinitys                            0         0            110
hammond                             0         0            111
truman scotts                       0         0            112
ram                                 0         0            113
alamo drafthouses                   0         0            114
under milky way                     0         0            115
words                               0         0            116
vitagrraphs                         0         0            117
rialto                              0         0            118
walking on waters                   0         0            119
aubin                               0         0            120
anchor bay                          0         1             18
vices                               0         0            121
big                                 0         0            122
filmbuff                            0         1             81
sideshow                            0         0            123
filmdisctrict                       0         0            124
mvd                                 0         0            125
abkcos                              0         0            126
anderson digital                    0         0            127
xlrator                             0         0            128
stage 6                             0         0            129
saboteur                            0         0            130
vertical                            0         0            131
sen arts                            0         0            132
vanished                            0         1             98
dreamworks                          0         0            133
brainstorm                          0         0            134
beardlins shores                    0         0            135
pchs                                0         0            136
jungle book                         0         0            137
zipporah                            0         0            138
vitagraphs                          0         0            139
kimstim                             0         0            140
vagrants                            0         0            141
breaking glass                      0         0            142
hannover house                      0         0            143
pantelions                          0         0            144
wolfe                               0         0            145
eleven artss                        0         0            146
screen                              0         1             14
pmk bnc                             0         0            147
pure flix                           0         0            148
first pond                          0         0            149


Network Metrics for year 2015

Film                               Btwns Cntr    Degree    Clstr Coef.
-------------------------------  ------------  --------  -------------
1                                           0         0              0
sony                                        0         0              1
fox                                         0         0              2
warner                                      0         0              3
universal                                   0         0              4
magnolia                                    0         1              5
ifc                                         0         0              6
lionsgate                                   0         0              7
freestyle                                   0         0              8
disney                                      0         2              9
paramount                                   0         1             10
focus                                       0         0             11
indican                                     0         0             12
first run                                   0         0             13
music boxs                                  0         0             14
strand                                      0         0             15
weinstein                                   0         0             16
a24                                         0         1             17
eros                                        0         0             18
orchard                                     0         0             19
kino lorbers                                0         0             20
radius                                      0         0             21
monterey                                    0         0             22
well go                                     0         0             23
gravitas                                    0         0             24
cohen                                       0         0             25
drafthouses                                 0         0             26
open roads                                  0         0             27
kino lorber                                 0         0             28
